[2017-05-18 10:12:32] Initializing upgrade...
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\MergeSplit.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\MergeSplit.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\MergeSuggested.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\MergeSuggested.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\Scoring.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\Contact\Scoring.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\IP\Filter.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\IP\Filter.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\IP\List.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Controls\UI\IP\List.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\FormControls\ActivityTypeSelector.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\FormControls\ActivityTypeSelector.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\FormControls\Cloning\OM_ContactSettings.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\FormControls\Cloning\OM_ContactSettings.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\FormControls\SalesForce\Score.ascx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\FormControls\SalesForce\Score.ascx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Pages\Tools\DetailFooter.aspx
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Pages\Tools\DetailFooter.aspx.cs
[2017-05-18 10:12:38] Removing file C:\Users\Mike\Documents\mekormaUpgrade\CMS\CMSModules\ContactManagement\Pages\Tools\Account\CollisionDialog.aspx
